Sample,Timepoint_Progression,Total,Immune,T cells
E12_B,B_Slow,833,644,358
E12_F1,F1_Slow,4651,3929,2906
E12_F2,F2_Slow,4240,3355,2253
E14_B,B_Fast,1003,609,322
E14_F1,F1_Fast,1073,521,310
E15_B,B_Slow,1955,1836,901
E15_F1,F1_Slow,2313,1378,1097
E15_F2,F2_Slow,1383,660,357
E16_B,B_Fast,1990,1088,835
E16_F1,F1_Fast,2320,1890,924
E16_F2,F2_Fast,3361,1878,1682
E17_B,B_Slow,2077,1079,1029
E17_F1,F1_Slow,1450,1133,788
E17_F2,F2_Slow,5544,5153,4424
E18_B,B_Slow,4642,4164,2803
E18_F1,F1_Slow,5682,5413,2880
E18_F2,F2_Slow,2961,2312,1842
E19_B,B_Fast,2981,2160,736
E19_F1,F1_Fast,1445,752,495
E20_B,B_Slow,5983,3036,2066
E20_F1,F1_Slow,3689,3322,1725
E20_F2,F2_Slow,2294,1800,1318
E21_B,B_Slow,1484,1276,1060
E21_F1,F1_Slow,3210,3187,2289
E21_F2,F2_Slow,1374,1264,1166
E22_B,B_Slow,2277,1948,810
E22_F1,F1_Slow,3579,2500,1701
E22_F2,F2_Slow,3990,2638,2180
E23_B,B_Slow,661,518,264
E23_F1,F1_Slow,5137,4719,1654
E23_F2,F2_Slow,2418,1633,1136
E24_B,B_Slow,999,945,489
E24_F1,F1_Slow,4850,2417,1660
E24_F2,F2_Slow,2045,1128,900
E25_B,B_Fast,2023,1674,927
E25_F1,F1_Fast,1880,1868,286
E25_F2,F2_Fast,3450,946,590
E26_B,B_Slow,4615,3010,1555
E26_F1,F1_Slow,3704,1998,1067
E26_F2,F2_Slow,2229,852,685
E27_B,B_Fast,1840,1525,463
E27_F1,F1_Fast,5236,3688,2414
E27_F2,F2_Fast,633,100,68
E29_B,B_Slow,5804,4013,3238
E29_F1,F1_Slow,5622,3764,1811
E29_F2,F2_Slow,106,103,32
E30_B,B_Fast,7128,3355,1281
E30_F1,F1_Fast,3528,1679,1368
E30_F2,F2_Fast,4032,1743,1604
E31_B,B_Fast,5811,2210,1626
E31_F1,F1_Fast,5605,886,661
E31_F2,F2_Fast,4832,370,254
E32_B,B_Slow,3639,1316,722
E32_F1,F1_Slow,4703,1087,531
E32_F2,F2_Slow,2381,876,494
E33_B,B_Slow,3240,141,102
E33_F1,F1_Slow,627,119,77
E34_B,B_Fast,3210,136,102
E34_F1,F1_Fast,4193,3422,1229
E35_B,B_Slow,1577,938,588
E35_F1,F1_Slow,611,585,278
E35_F2,F2_Slow,635,318,281
E36_B,B_Slow,5324,1196,563
E36_F1,F1_Slow,1240,1102,557
E36_F2,F2_Slow,3167,1339,1116
E37_B,B_Slow,3691,1567,841
E37_F1,F1_Slow,757,720,210
E37_F2,F2_Slow,2623,1046,629
E38_B,B_Slow,6899,6121,1944
E38_F1,F1_Slow,5590,4324,1542
E38_F2,F2_Slow,1901,1007,734
E39_B,B_Slow,3924,1312,798
E39_F1,F1_Slow,1852,1065,574
E39_F2,F2_Slow,7073,5662,3221
E40_B,B_Slow,4791,3158,1254
E40_F1,F1_Slow,959,938,178
E40_F2,F2_Slow,3682,1902,1653
E41_B,B_Slow,3147,2314,1336
E41_F1,F1_Slow,2665,2126,893
E41_F2,F2_Slow,4989,3719,2065
E42_B,B_Slow,5750,2918,1489
E42_F1,F1_Slow,2548,776,406
E42_F2,F2_Slow,321,288,179
E43_B,B_Slow,1715,667,383
E43_F1,F1_Slow,1243,753,639
E44_B,B_Fast,1190,969,707
E44_F1,F1_Fast,1195,623,467
E44_F2,F2_Fast,583,304,256
E45_B,B_Slow,6189,557,308
E45_F1,F1_Slow,2391,2032,737
E45_F2,F2_Slow,578,536,83
E46_B,B_Slow,1993,436,175
E46_F1,F1_Slow,2070,1017,647
E46_F2,F2_Slow,276,148,32
